univ_id,univ_name,city,univ_type,is_national,gop_code,gop_name,metric,quota_type,score,grants_count,year,granularity,source_url,source_type,confidence,scraped_at
u3,Akademiya grazhdanskoy aviatsii,,other,False,B067,Воздушный транспорт и технологии,passing,general,72,253,2025,univ_gop,https://univision.kz/univ/3-akademiya-grazhdanskoy-aviatsii/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u3,Akademiya grazhdanskoy aviatsii,,other,False,B095,Транспортные услуги,passing,general,120,1,2025,univ_gop,https://univision.kz/univ/3-akademiya-grazhdanskoy-aviatsii/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u3,Akademiya grazhdanskoy aviatsii,,other,False,B167,Летная эксплуатация летательных аппаратов и двигателей,passing,general,86,198,2025,univ_gop,https://univision.kz/univ/3-akademiya-grazhdanskoy-aviatsii/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u3,Akademiya grazhdanskoy aviatsii,,other,False,B095,Транспортные услуги,passing,rural,105,2,2025,univ_gop,https://univision.kz/univ/3-akademiya-grazhdanskoy-aviatsii/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u3,Akademiya grazhdanskoy aviatsii,,other,False,B095,Транспортные услуги,passing,other,72,1,2025,univ_gop,https://univision.kz/univ/3-akademiya-grazhdanskoy-aviatsii/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u3,Akademiya grazhdanskoy aviatsii,,other,False,B067,Воздушный транспорт и технологии,passing,large_family,66,36,2025,univ_gop,https://univision.kz/univ/3-akademiya-grazhdanskoy-aviatsii/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u3,Akademiya grazhdanskoy aviatsii,,other,False,B167,Летная эксплуатация летательных аппаратов и двигателей,passing,large_family,85,4,2025,univ_gop,https://univision.kz/univ/3-akademiya-grazhdanskoy-aviatsii/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u3,Akademiya grazhdanskoy aviatsii,,other,False,B067,Воздушный транспорт и технологии,passing,single_parent,66,23,2025,univ_gop,https://univision.kz/univ/3-akademiya-grazhdanskoy-aviatsii/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u3,Akademiya grazhdanskoy aviatsii,,other,False,B167,Летная эксплуатация летательных аппаратов и двигателей,passing,single_parent,85,3,2025,univ_gop,https://univision.kz/univ/3-akademiya-grazhdanskoy-aviatsii/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u3,Akademiya grazhdanskoy aviatsii,,other,False,B067,Воздушный транспорт и технологии,threshold,general,65,25,2025,univ_gop,https://univision.kz/univ/3-akademiya-grazhdanskoy-aviatsii/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u3,Akademiya grazhdanskoy aviatsii,,other,False,B095,Транспортные услуги,threshold,general,65,25,2025,univ_gop,https://univision.kz/univ/3-akademiya-grazhdanskoy-aviatsii/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u3,Akademiya grazhdanskoy aviatsii,,other,False,B167,Летная эксплуатация летательных аппаратов и двигателей,threshold,general,85,,2025,univ_gop,https://univision.kz/univ/3-akademiya-grazhdanskoy-aviatsii/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B001,Педагогика и психология,passing,general,81,10,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B002,Дошкольное обучение и воспитание,passing,general,76,15,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B003,Педагогика и методика начального обучения,passing,general,82,15,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B006,Подготовка учителей музыки,passing,general,116,5,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B007,Подготовка учителей художественного труда и черчения,passing,general,121,7,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B009,Подготовка учителей математики,passing,general,99,19,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B010,Подготовка учителей физики,passing,general,83,15,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B011,Подготовка учителей информатики,passing,general,78,11,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B012,Подготовка учителей химии,passing,general,95,15,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B013,Подготовка учителей биологии,passing,general,91,15,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B014,Подготовка учителей географии,passing,general,92,10,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B015,Подготовка учителей по гуманитарным предметам,passing,general,96,10,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B016,Подготовка учителей казахского языка и литературы,passing,general,115,15,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B017,Подготовка учителей русского языка и литературы,passing,general,76,15,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B018,Подготовка учителей иностранного языка,passing,general,112,15,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B020,Специальная педагогика,passing,general,87,19,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B028,Хореография,passing,general,125,1,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,B031,"Мода, дизайн",passing,general,125,2,2025,univ_gop,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball,aggregator,medium,2026-07-02T19:05:11+00:00
