univ_id,name,city,univ_type,is_national,admission_track,univision_id,source_url
u3,Akademiya grazhdanskoy aviatsii,,other,False,ent,3,https://univision.kz/univ/3-akademiya-grazhdanskoy-aviatsii/ball
u5,Aktyubinskiy gosudarstvennyy regionalnyy universitet imeni k zhubanova,,other,False,ent,5,https://univision.kz/univ/5-aktyubinskiy-gosudarstvennyy-regionalnyy-universitet-imeni-k-zhubanova/ball
u6,Baishev universitet,,other,False,ent,6,https://univision.kz/univ/6-baishev-universitet/ball
u7,Almatinskaya akademiya ekonomiki i statistiki,,other,False,ent,7,https://univision.kz/univ/7-almatinskaya-akademiya-ekonomiki-i-statistiki/ball
u8,Almatinskiy tehnologicheskiy universitet,,other,False,ent,8,https://univision.kz/univ/8-almatinskiy-tehnologicheskiy-universitet/ball
u9,Almatinskiy universitet energetiki i svyazi,,other,False,ent,9,https://univision.kz/univ/9-almatinskiy-universitet-energetiki-i-svyazi/ball
u10,Almaty menedzhment universitet,,other,False,ent,10,https://univision.kz/univ/10-almaty-menedzhment-universitet/ball
u11,Arkalykskiy pedagogicheskiy institut imeni i altynsarina,,other,False,ent,11,https://univision.kz/univ/11-arkalykskiy-pedagogicheskiy-institut-imeni-i-altynsarina/ball
u12,Atyrauskiy universitet imeni halela dosmuhamedova,,other,False,ent,12,https://univision.kz/univ/12-atyrauskiy-universitet-imeni-halela-dosmuhamedova/ball
u14,Atyrauskiy universitet nefti i gaza imeni s utebaeva,,other,False,ent,14,https://univision.kz/univ/14-atyrauskiy-universitet-nefti-i-gaza-imeni-s-utebaeva/ball
u15,Vostochno kazahstanskiy gosudarstvennyy tehnicheskiy universitet imeni d serikbaeva,,other,False,ent,15,https://univision.kz/univ/15-vostochno-kazahstanskiy-gosudarstvennyy-tehnicheskiy-universitet-imeni-d-serikbaeva/ball
u16,Vostochno kazahstanskiy gosudarstvennyy universitet imeni s amanzholova,,other,False,ent,16,https://univision.kz/univ/16-vostochno-kazahstanskiy-gosudarstvennyy-universitet-imeni-s-amanzholova/ball
u17,Meditsinskiy universitet semey,,other,False,ent,17,https://univision.kz/univ/17-meditsinskiy-universitet-semey/ball
